Phylum Class Order Family Genus OTUs_completeDS OTUs_wholeDS
0.01 0.930782725855589 0.974657655679331 0.980851960465241 0.940555639989036 0.866687329947594 0.997186101077807 0.997186101077807
0.05 0.930782725855589 0.974657655679331 0.980851960465241 0.940555639989036 0.866687329947594 0.994139988410333 0.994139988410333
0.1 0.930782725855589 0.974657655679331 0.980851960465241 0.940555639989036 0.866687329947594 0.983609768937699 0.983609768937699
0.15 0.930782725855589 0.974657655679331 0.961731521192002 0.940555639989036 0.866687329947594 0.978244603845614 0.978244603845614
0.2 0.930782725855589 0.952047993548882 0.961731521192002 0.940555639989036 0.866687329947594 0.983466083935831 0.983466083935831
0.25 0.930782725855589 0.952047993548882 0.954276509136246 0.940555639989036 0.866687329947594 0.978387412472782 0.978387412472782
0.3 0.786292598865818 0.938045115561224 0.954276509136246 0.940555639989036 0.866687329947594 0.975036175993988 0.975036175993988
0.35 0.786292598865818 0.938045115561224 0.945449230698351 0.944944335506289 0.866687329947594 0.973746791706914 0.973746791706914
0.4 0.786292598865818 0.938045115561224 0.945449230698351 0.931932617431801 0.866687329947594 0.97202133100965 0.97202133100965
0.45 0.786292598865818 0.911149684010432 0.924502199275677 0.918726820886025 0.866687329947594 0.970824605337121 0.970824605337121
0.5 0.786292598865818 0.911149684010432 0.921431681899023 0.920911258538358 0.866687329947594 0.968883715843088 0.968883715843088
0.55 0.786292598865818 0.906140153920139 0.918536965368654 0.922794530728188 0.866687329947594 0.9664156143185 0.9664156143185
0.6 0.723546691526946 0.899709625085436 0.914085491071052 0.911621789813008 0.866687329947594 0.959549074531231 0.959549074531231
0.65 0.723546691526946 0.891153778262864 0.903013181944138 0.900592974652345 0.83148999322951 0.953006488848482 0.953006488848482
0.7 0.723546691526946 0.872017657020186 0.898444922704509 0.877725136490968 0.792149434806722 0.938675037923763 0.938675037923763
0.75 0.695745876855775 0.856187954369114 0.88792335661873 0.870380983702732 0.776873977302507 0.919179467929895 0.919179467929895
0.8 0.695745876855775 0.846531179009884 0.876534344965843 0.856596707165065 0.718065014145125 0.895774719286609 0.895774719286609
0.85 0.547081724264079 0.808323964547916 0.863397419870684 0.840195775579102 0.699301597595586 0.850293678949455 0.850293678949455
0.9 0.468621011902866 NA 0.8307302851566 0.792470764935374 0.688380746592802 0.759668689372144 0.759668689372144
0.95 NA NA 0.759352730029796 0.699204880286974 0.585480593364431 0.597142832243911 0.597142832243911
0.99 NA NA NA NA NA NA NA
